,Sym,Amount (000)
2013-12-01,WFC,463458.1
2013-12-01,KO,400000.0
2013-12-01,AXP,151610.7
2013-12-01,IBM,71255.6
2013-12-01,PG,52793.1
2013-12-01,XOM,41129.6
2013-12-01,WMT,49483.7
2013-12-01,USB,79320.9
2013-12-01,DVA,36461.3
2013-12-01,GS,12631.5
2013-12-01,PSX,27163.9
2013-12-01,MCO,24669.8
2013-12-01,GM,40000.0
2013-12-01,GHC,2859.5
2013-12-01,BK,24652.8
2013-12-01,COP,11080.0
2013-12-01,NOV,9847.9
2013-12-01,VRSN,10961.5
2013-12-01,MTB,5382.0
2013-12-01,COST,4333.4
2013-12-01,DE,3978.8
2013-12-01,V,6221.8
2013-12-01,MA,4050.0
2013-12-01,GL,6353.7
2013-12-01,GE,1762.8
2013-12-01,LBTYA,5769.8
2013-12-01,SNY,3905.9
2013-12-01,MEG,105005.0
2013-12-01,VRSK,1563.4
2013-12-01,JNJ,327.1
2013-12-01,MDLZ,578.0
2013-12-01,UPS,59.4
2013-12-01,LEE,8.9
2013-12-01,VZ,0.0
2013-12-01,LBTYK,0.0
2013-12-01,LBRDA,0.0
2013-12-01,QSR,0.0
2013-12-01,FWONK,0.0
2013-12-01,DNOW,0.0
2013-12-01,KHC,0.0
2013-12-01,AAPL,0.0
2013-12-01,AXTA,0.0
2013-12-01,KMI,0.0
2013-12-01,LILA,0.0
2013-12-01,LILAK,0.0
2013-12-01,CHTR,0.0
2013-12-01,LUV,0.0
2013-12-01,DAL,0.0
2013-12-01,AAL,0.0
2013-12-01,UAL,0.0
2013-12-01,SIRI,0.0
2013-12-01,BAC,0.0
2013-12-01,SYF,0.0
2013-12-01,TEVA,0.0
2013-12-01,STOR,0.0
2013-12-01,JPM,0.0
2013-12-01,PNC,0.0
2013-12-01,AMZN,0.0
2013-12-01,TRV,0.0
2013-12-01,STNE,0.0
2013-12-01,KR,0.0
2013-12-01,OXY,0.0
2013-12-01,BIIB,0.0
2013-12-01,RH,0.0
