,Sym,Amount (000)
2013-12-01,IBM,175.5
2013-12-01,ORCL,629.8
2013-12-01,PEP,287.0
2013-12-01,AAPL,1158.4
2013-12-01,VZ,457.6
2013-12-01,VTR,312.0
2013-12-01,AXP,200.4
2013-12-01,RTX,250.4
2013-12-01,WELL,326.0
2013-12-01,LVS,217.1
2013-12-01,DVN,259.1
2013-12-01,ISRG,359.1
2013-12-01,MSFT,406.8
2013-12-01,MU,664.2
2013-12-01,QCOM,192.1
2013-12-01,XOM,132.7
2013-12-01,OXY,146.4
2013-12-01,BAX,347.3
2013-12-01,ATVI,690.1
2013-12-01,CVX,96.1
2013-12-01,CSCO,516.6
2013-12-01,COP,159.5
2013-12-01,KO,270.7
2013-12-01,PG,128.5
2013-12-01,JNJ,113.2
2013-12-01,RL,51.8
2013-12-01,MCK,56.6
2013-12-01,VRSN,149.8
2013-12-01,NEM,379.9
2013-12-01,HD,102.9
2013-12-01,PCG,206.3
2013-12-01,ADP,115.4
2013-12-01,EOG,97.4
2013-12-01,MAR,165.6
2013-12-01,COF,106.3
2013-12-01,EA,342.3
2013-12-01,MDT,132.3
2013-12-01,HON,85.6
2013-12-01,CHRW,126.1
2013-12-01,INTU,95.2
2013-12-01,FCX,190.2
2013-12-01,WYNN,36.9
2013-12-01,MGM,285.7
2013-12-01,LRCX,117.0
2013-12-01,FAST,267.7
2013-12-01,MCHP,279.9
2013-12-01,PHM,306.9
2013-12-01,KLAC,93.2
2013-12-01,APA,69.8
2013-12-01,CAG,228.0
2013-12-01,DVA,93.4
2013-12-01,EBAY,254.8
2013-12-01,CME,74.9
2013-12-01,META,102.0
2013-12-01,WY,175.7
2013-12-01,LUMN,170.2
2013-12-01,AMAT,302.8
2013-12-01,BIIB,19.1
2013-12-01,FFIV,57.9
2013-12-01,HES,61.9
2013-12-01,NTAP,120.8
2013-12-01,EXPD,109.6
2013-12-01,NVDA,1202.0
2013-12-01,EQIX,27.0
2013-12-01,PXD,25.6
2013-12-01,IP,100.2
2013-12-01,MRO,128.5
2013-12-01,KMX,92.0
2013-12-01,TJX,135.7
2013-12-01,MCO,54.3
2013-12-01,AZO,8.4
2013-12-01,T,149.1
2013-12-01,EMN,48.4
2013-12-01,MSI,57.5
2013-12-01,FE,112.8
2013-12-01,JNPR,161.2
2013-12-01,K,58.8
2013-12-01,TXN,80.6
2013-12-01,LUV,185.0
2013-12-01,PFE,116.4
2013-12-01,EXC,169.5
2013-12-01,GOOGL,111.5
2013-12-01,GWW,11.8
2013-12-01,CTRA,76.2
2013-12-01,GILD,38.6
2013-12-01,BA,21.0
2013-12-01,MO,66.1
2013-12-01,LLY,48.2
2013-12-01,AKAM,51.8
2013-12-01,EQT,49.6
2013-12-01,CSX,247.9
2013-12-01,HAL,46.6
2013-12-01,INTC,82.0
2013-12-01,GLW,115.8
2013-12-01,FLT,15.6
2013-12-01,UNP,20.8
2013-12-01,SLB,19.2
2013-12-01,CAH,25.6
2013-12-01,ALB,25.6
2013-12-01,NSC,17.0
2013-12-01,PEG,46.7
2013-12-01,BSX,123.5
2013-12-01,BKNG,1.2
2013-12-01,UAL,36.4
2013-12-01,MA,15.7
2013-12-01,STZ,17.4
2013-12-01,PPG,12.0
2013-12-01,SYY,31.2
2013-12-01,CBRE,39.7
2013-12-01,KR,52.0
2013-12-01,CF,22.0
2013-12-01,SYK,13.6
2013-12-01,UHS,12.5
2013-12-01,ULTA,9.9
2013-12-01,CPRT,101.2
2013-12-01,URI,11.8
2013-12-01,ROK,7.7
2013-12-01,DOV,13.6
2013-12-01,AAP,7.9
2013-12-01,AMGN,7.5
2013-12-01,PGR,31.1
2013-12-01,CE,14.9
2013-12-01,ICE,18.0
2013-12-01,NRG,28.2
2013-12-01,RSG,23.8
2013-12-01,MSCI,16.9
2013-12-01,WDC,8.7
2013-12-01,NVR,0.7
2013-12-01,ZBH,7.0
2013-12-01,BDX,4.4
2013-12-01,V,8.4
2013-12-01,CTSH,9.1
2013-12-01,ALK,12.4
2013-12-01,TEL,8.0
2013-12-01,ABC,5.3
2013-12-01,TROW,3.4
2013-12-01,PSX,3.6
2013-12-01,AEP,4.3
2013-12-01,ENPH,0.0
2014-03-01,MSFT,892.7
2014-03-01,VZ,620.5
2014-03-01,IBM,141.2
2014-03-01,JNJ,263.0
2014-03-01,CSCO,1080.6
2014-03-01,AAPL,1211.6
2014-03-01,ORCL,565.3
2014-03-01,INTC,761.5
2014-03-01,GILD,247.7
2014-03-01,VTR,253.4
2014-03-01,LVS,215.5
2014-03-01,CAG,704.0
2014-03-01,QCOM,198.9
2014-03-01,EOG,155.9
2014-03-01,OXY,165.7
2014-03-01,RTX,176.2
2014-03-01,COP,173.8
2014-03-01,FCX,368.1
2014-03-01,XOM,123.0
2014-03-01,CVX,96.4
2014-03-01,K,171.3
2014-03-01,WELL,173.9
2014-03-01,ED,192.5
2014-03-01,MU,423.4
2014-03-01,HON,108.8
2014-03-01,NEM,397.9
2014-03-01,APA,111.7
2014-03-01,WYNN,41.5
2014-03-01,PHM,468.5
2014-03-01,JNPR,347.6
2014-03-01,EMR,133.3
2014-03-01,BA,67.6
2014-03-01,MGM,327.5
2014-03-01,MO,225.4
2014-03-01,BKNG,6.9
2014-03-01,URI,86.1
2014-03-01,CCL,212.8
2014-03-01,CHRW,147.6
2014-03-01,TXN,158.9
2014-03-01,NTAP,200.8
2014-03-01,KR,339.3
2014-03-01,VRSN,128.9
2014-03-01,ICE,174.5
2014-03-01,MAR,119.7
2014-03-01,PEP,79.6
2014-03-01,INTU,83.6
2014-03-01,NVDA,1289.8
2014-03-01,UNH,67.9
2014-03-01,MCK,31.0
2014-03-01,MDT,87.3
2014-03-01,WY,181.1
2014-03-01,CI,63.0
2014-03-01,MHK,38.3
2014-03-01,HES,62.1
2014-03-01,TMO,42.1
2014-03-01,GOOGL,179.4
2014-03-01,DVN,73.5
2014-03-01,PXD,25.7
2014-03-01,ADBE,72.4
2014-03-01,BAX,114.6
2014-03-01,MRO,128.9
2014-03-01,DHR,80.5
2014-03-01,DGX,79.0
2014-03-01,DVA,64.9
2014-03-01,KLAC,63.9
2014-03-01,MCHP,178.3
2014-03-01,LRCX,76.8
2014-03-01,MET,88.6
2014-03-01,NOC,33.8
2014-03-01,FFIV,38.9
2014-03-01,AMAT,202.6
2014-03-01,PH,33.6
2014-03-01,META,65.2
2014-03-01,WM,86.9
2014-03-01,PFE,118.2
2014-03-01,LMT,21.4
2014-03-01,CAH,48.8
2014-03-01,IP,79.4
2014-03-01,PRU,39.7
2014-03-01,AIG,66.3
2014-03-01,DOV,50.2
2014-03-01,MSI,45.9
2014-03-01,EQT,51.8
2014-03-01,CTRA,78.5
2014-03-01,GE,17.0
2014-03-01,AFL,82.0
2014-03-01,ITW,31.4
2014-03-01,VLO,46.3
2014-03-01,WHR,16.0
2014-03-01,GWW,9.2
2014-03-01,CRM,38.6
2014-03-01,ACN,24.4
2014-03-01,AZO,3.6
2014-03-01,JBHT,26.8
2014-03-01,ABC,29.1
2014-03-01,ATVI,91.0
2014-03-01,LLY,31.4
2014-03-01,ANSS,24.0
2014-03-01,EL,27.4
2014-03-01,MAS,92.7
2014-03-01,CB,18.1
2014-03-01,ETN,23.5
2014-03-01,GS,10.0
2014-03-01,TRV,18.8
2014-03-01,LUV,66.9
2014-03-01,GLW,74.1
2014-03-01,NUE,28.9
2014-03-01,HD,18.3
2014-03-01,CMI,9.2
2014-03-01,ISRG,27.7
2014-03-01,STLD,73.1
2014-03-01,DUK,18.0
2014-03-01,KMX,27.2
2014-03-01,TEL,21.2
2014-03-01,PEG,32.2
2014-03-01,EBAY,50.5
2014-03-01,CB,11.8
2014-03-01,RHI,27.6
2014-03-01,PKG,16.3
2014-03-01,PPG,11.4
2014-03-01,LNC,21.7
2014-03-01,EMN,12.0
2014-03-01,FISV,35.7
2014-03-01,UAL,21.5
2014-03-01,SYK,11.7
2014-03-01,ZION,30.0
2014-03-01,NDAQ,75.0
2014-03-01,LOW,16.6
2014-03-01,LH,8.0
2014-03-01,MTD,3.2
2014-03-01,O,18.7
2014-03-01,EQIX,3.9
2014-03-01,SBAC,8.0
2014-03-01,ROK,5.8
2014-03-01,T,26.6
2014-03-01,TROW,8.2
2014-03-01,MMC,13.5
2014-03-01,ABT,17.2
2014-03-01,ALL,11.5
2014-03-01,AME,12.4
2014-03-01,HIG,18.1
2014-03-01,LUMN,19.0
2014-03-01,AKAM,10.2
2014-03-01,WAB,7.6
2014-03-01,GIS,11.1
2014-03-01,AMZN,34.1
2014-03-01,BLK,1.7
2014-03-01,ADP,7.6
2014-03-01,CDNS,32.8
2014-03-01,BSX,36.9
2014-03-01,MS,15.8
2014-03-01,AEP,9.4
2014-03-01,SBNY,3.8
2014-03-01,PGR,19.6
2014-03-01,BEN,8.5
2014-03-01,UHS,5.4
2014-03-01,PAYX,10.2
2014-03-01,ON,41.8
2014-03-01,CLX,4.1
