date,ROA(NI),ROA(OI),ROA(EBITDA),ROE(NI),ROE(OI),ROE(EBITDA),PER (P/E),PBR (P/B),EV/EBITDA,PCR,Interest Coverage Ratio,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,FCFE,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth,COGS Ratio
2013-03-01,0.0338356010490418,0.025023426103717057,0.037059515001099747,0.07709236196309993,0.057014356563329614,0.08443785409636227,48.03448275862069,3.7559673346259044,16.40110802680635,4.754188425942051e-16,-1.861185811243437,inf,0.05779117667364739,0.2740128611749644,0.21265376863712576,0.03242680660777536,0.062229013939081056,0.8492486669898206,0.2016831262610173,81905000.0,1.2784392643523954,0.07388250939271708,0.21265376863712576,0.15248639521225105,0.34743099013114986,0.27176182695479406,0.8560317671911948,0.9064308730598118,0.9773367431672281,8.666666666666668,0.13603055331304725
2013-06-01,0.0036787641786921953,0.017612341982662327,0.029956431477798858,0.009064080133812701,0.04339492050064407,0.07380943225732028,482.6666666666667,3.857760636763886,24.545201286776678,1.2722029363637255e-15,1.334496112572797,inf,0.049181490502216596,0.2702366261825897,0.20661772617047514,0.02922060061121561,0.054992903312497295,-0.33033410519351636,1.4349021964083049,92065000.0,1.4638926806759849,0.07199642397093034,0.20661772617047514,0.14142349329266365,0.3484523099994232,0.23803132196720708,1.0421905294415956,1.0022296195296214,0.9886375723788822,-0.7857142857142857,0.11929728730609329
2013-09-01,0.015054428602319477,0.018741786049588895,0.03132533324053027,0.03512113599086303,0.043723533715378314,0.07308024221724749,96.49999999999999,3.438203467231524,22.9801775037136,6.85147794349219e-16,1.741073050237931,inf,0.06721275461424697,0.35203618936328085,0.26785982157224797,0.038402478780098594,0.07568063250853439,2.0964884192549897,-0.4604215456674473,110421000.0,1.3329438080068892,0.08959082508214697,0.26785982157224797,0.1433678203572631,0.334469068769921,0.25092510784084926,1.1482794444933422,1.053028883707122,0.9732561411332494,0.07692307692307698,0.13565091218528993
2013-12-01,0.015525399190727502,0.015564104601785143,0.028702985793055344,0.03261381967900839,0.0326951271727049,0.0602956478866539,107.84615384615384,3.368811587182825,25.758168706362675,7.249790164907193e-16,0.7628456104944501,inf,0.0936458739359495,0.428962260075739,0.31631813379627416,0.049066931949710964,0.10378240914118497,-1.4117284681909725,-1.625776241146655,128143000.0,1.1006751116896822,0.10307368275372912,0.31631813379627416,0.15511893472826538,0.32585448553548335,0.296049653594196,0.9713576454674668,0.9621193873751099,0.9951710474177784,0.08333333333333341,0.15669644990204978
2014-03-01,0.01310107676826901,0.01676240581248861,0.029003414916290972,0.027235995328619127,0.03484757890367501,0.06029556861214197,129.5,3.6042578582476392,25.876616901831692,8.626322081592069e-16,-1.1795600903236598,inf,0.021448560248790476,0.09977451485183672,0.07422533350944394,0.011131359390227476,0.02355843158429572,-4.518089725036179,-0.0045910740978005555,34350000.0,1.078912734454399,0.023141124788132454,0.07422533350944394,0.14996711855543496,0.3117685525143263,0.28896549513060127,0.8588316509861021,0.9060916429663947,0.9993716802010624,0.4999999999999999,0.15083608506141857
2014-06-01,0.008350464654557542,0.01274196981656833,0.02441675434241751,0.018455609115228755,0.028161404666778793,0.0539641915327763,218.62499999999997,3.931574347631545,31.321312535834522,1.106477995256886e-15,2.71425294387521,inf,0.04514704503690631,0.2430437912925631,0.18180354182286662,0.02471971579057323,0.04890816854835101,3.039458004148828,1.4534814492122268,80328000.0,1.2101296010104055,0.05463377559731024,0.18180354182286662,0.13596938509953754,0.30050996283967113,0.24832874312698275,1.073271864757876,1.0295246644328164,0.9457972114577924,-0.38461538461538464,0.1436502740319123
2014-09-01,0.01387132978878697,0.01997419751576254,0.03318069388800421,0.029216323779293188,0.04207041651650506,0.0698864428006884,132.3846153846154,3.8106080280090633,23.50601993651501,8.257041974996062e-16,3.747937036266556,inf,0.06170217856001981,0.3082731612658281,0.21895849147057647,0.0324072106524126,0.06766128310458595,-1.721307292177839,-1.4578638872417096,97935000.0,1.106238134638721,0.0682573029133816,0.21895849147057647,0.14800618343119823,0.31173626770512336,0.2817985187311693,0.7575840279917397,0.8430888883072923,0.9465795284828743,-0.43478260869565216,0.13503006272222445
2014-12-01,0.0202613694853743,0.023301073419501016,0.034830393985959426,0.04876369815248348,0.05607945265879509,0.08382744414633159,82.4782608695652,4.0306203705231205,19.563002448338448,6.561463754959876e-16,2.490130856058336,0.37876710757264626,0.07039886310209799,0.4660930513253973,0.31214273947342236,0.04114805910848728,0.09480141641859721,0.2986731617738518,2.3991080285006854,143919000.0,1.4067325847684493,0.09903237465637453,0.31214273947342236,0.1318244953507588,0.31726630843132814,0.2255342002215373,1.1039246781905112,1.0479960425329748,1.028519858228439,0.7692307692307693,0.1373558519879905
2015-03-01,0.011839422183692428,0.016092719664725485,0.027644474484623184,0.026598639954811876,0.03615416779759241,0.06210652953733522,141.84615384615384,3.8487695185557405,24.593848552496368,9.047032432723397e-16,-1.975429876948976,0.13388967752111383,0.027473630011033468,0.16409218235432638,0.11349503848154685,0.015244737662710832,0.038068028009614854,-1.3184975995481503,-1.5781785469499656,54208000.0,1.2466163924324563,0.034249077531378604,0.11349503848154685,0.13432074094753907,0.3017671784564147,0.242068995954395,1.7279940372448492,1.2864390568470079,0.9891387722027589,-0.35000000000000003,0.14727760680270124
2015-06-01,0.024430271862383977,0.03209371546378242,0.045768954988400244,0.041625662478573446,0.054683065956205736,0.07798370329548424,98.3,4.014370744659913,15.016905286343613,7.596305392164063e-16,2.461627682196018,0.3491324308281694,0.12380444928912651,0.4267622863191691,0.2927602234282238,0.051143110734743785,0.23087323153122233,-0.5183734465273313,-2.767408052302183,138301000.0,0.7038558847421478,0.08714049018941251,0.2927602234282238,0.17469282587592563,0.29765139939093127,0.4228868520435452,1.0389402669404952,1.0212398225760786,0.958779333414791,-0.25925925925925924,0.1244460581461613
