date,ROA(NI),ROA(OI),ROA(EBITDA),ROE(NI),ROE(OI),ROE(EBITDA),PER (P/E),PBR (P/B),EV/EBITDA,PCR,Interest Coverage Ratio,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,FCFE,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth,COGS Ratio
2013-06-01,0.004577933967232323,0.012197523514610127,0.012197523514610127,0.007901058866894552,0.021051712848870443,0.021051712848870443,234.13636363636363,1.8887869203604821,78.38030760945341,4.802839893035781e-18,-1.1519003047066916,0.18944720018110492,0.04964209867905682,0.9827340872545299,0.2504328325840877,0.02087909467665388,0.41551108516578444,-0.9396756855867545,-1.7407402225341546,3192926000.0,0.7259008476522125,0.03603524151036212,0.2504328325840877,0.08337203417464567,0.14389184173070674,0.1982252014115941,0.996903569952165,1.0177228229557804,0.9449496540393103,-0.45,0.3308185701798663
2014-06-01,0.008564817753678795,0.015884039897243626,0.015884039897243626,0.01500956783573711,0.027836269398823922,0.027836269398823922,132.92499999999998,1.972067702453475,59.920884334194675,5.335591580393121e-18,-6.4330196170318015,0.25056862209426795,0.06505274654243519,1.3197705454045676,0.3110729792709948,0.027932096260577566,0.4373239436619718,-0.6403840453571,-1.712312590312073,4100310000.0,0.7524678594929983,0.04895010094492675,0.3110729792709948,0.08979274357431155,0.15735889712967743,0.20912374547891457,1.1739209236051216,1.1488824102863304,1.0677370778615218,-0.27272727272727276,0.32015717676031885
2015-06-01,0.013296160350952341,0.019668517314978252,0.019668517314978252,0.02293302591897891,0.03392397545355825,0.03392397545355825,90.05454545454545,2.0598001700544875,48.284521630890936,5.2202548254840416e-18,15.917258742930573,0.3161560950060308,0.08274806882924984,1.4421513898460832,0.3598984689119567,0.034772226243140844,0.4356550958557113,-1.269575115240924,-1.486049926578561,4699137600.0,0.7247859192336721,0.05997463513121901,0.3598984689119567,0.09661676624594728,0.166643207214896,0.22992059143628313,inf,inf,0.9717538674666689,-0.2028985507246377,0.31053798290807355
2015-09-01,inf,inf,inf,inf,inf,inf,68.79710144927536,inf,0.0,1.003734509162279e-17,-1.2739554124549428,,,0.0,0.0,,-inf,,,0.0,,,0.0,inf,inf,inf,,,1.2313927124672857,0.46808510638297895,0.3097107048580451
2016-03-01,inf,inf,inf,inf,inf,inf,85.44680851063829,inf,0.0,1.2996587646497283e-17,-1.0883171639239546,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.9319588432980984,-0.07843137254901968,0.3086529303683784
2016-06-01,0.011683640293681559,0.015396577287911538,0.015396577287911538,0.021307527548701858,0.028078833862705176,0.028078833862705176,82.05882352941177,1.7544308659485193,60.88265951954147,5.273113067466014e-18,-4.5281933407762525,0.1611447930675976,0.05345575542634256,1.0503314423375816,0.2880356434829095,0.024144170135229282,0.4035687198672212,-0.7682183553944861,-1.7108233298176598,3760439000.0,0.823706877805102,0.04403187340294577,0.2880356434829095,0.08382354990264206,0.15286952986274557,0.18558729322509818,inf,inf,0.9047062532174195,-0.3013698630136986,0.3036832117580104
2016-09-01,inf,inf,inf,inf,inf,inf,52.31506849315068,inf,0.0,7.932600656651334e-18,-1.4569887120326477,,,0.0,0.0,,-inf,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,1.0474015642130479,1.212121212121212,0.2986551909628833
2016-12-01,0.0072135051368384705,0.015899205732539067,0.015899205732539067,0.013080378374942742,0.028830315207041993,0.028830315207041993,122.54545454545453,1.6290619308431247,56.72329299714108,3.50141355725513e-18,0.4400380807768276,0.466131415968202,0.16695066239149256,3.3707177833048343,0.8757810917584281,0.07488155918155918,0.7056709412307467,6.39315142504815,-0.5232202432896129,10747300000.0,0.8133185800669971,0.13578407567749334,0.8757810917584281,0.08550259863593197,0.1550433972088398,0.19063058561390311,inf,inf,1.0445321447491667,-0.8630705394190871,0.32263534901773727
2017-03-01,inf,inf,inf,inf,inf,inf,18.775933609958503,inf,0.0,2.949888316448656e-18,-0.30468339029382663,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.9647384073828407,4.355555555555556,0.3130269124201751
2017-06-01,0.010179634788101794,0.014243647693468978,0.014243647693468978,0.01794365327959969,0.02510729323483284,0.02510729323483284,106.46666666666665,1.8961228483947532,62.710526431181336,6.182613076246044e-18,-5.971209808938163,0.16831287961675018,0.05798811455541142,1.1175135113654426,0.28613004748533466,0.025090794397443196,0.3673995984845376,-0.6911844767863845,-2.031298906764349,3426022600.0,0.7627006125559822,0.04422757049237875,0.28613004748533466,0.08769017661009267,0.15457156940025882,0.20266349188085026,inf,inf,0.8902583338692832,-0.3835616438356164,0.32295979878891995
